rank,key,title,期間増加PV,1日平均PV,期間開始PV,期間終了PV,分析期間(日),集計日
1,ndf7b7e394e8f,真夏の昼のラグジュアリービリーフ,358,11.93,0,358,30,2026-08-08
2,nf746f2780e66,あなたの病歴は守られる。「推定された病歴」は、守られない:個人情報保護法を、AIに悪用させてみたら3回間違えた話,355,11.83,0,355,30,2026-08-08
3,n7685895e8932,昔の思い出「北上」「アントステラ」,296,9.87,0,296,30,2026-08-08
4,n33f40ef01465,王の交代：皇室典範改正からみる男系・女系論と他国のトップ交代制度の比較,258,8.6,0,258,30,2026-08-08
5,nb6089069fbec,『Misfit Buddy Noir - 壁の内外と、その先（ビヨンド）』2部・第11話,235,7.83,0,235,30,2026-08-08
6,nc879131f0310,『Misfit Buddy Noir - 壁の内外と、その先（ビヨンド）』2部・第12話,232,7.73,0,232,30,2026-08-08
7,n411fb6693d0f,自己紹介,157,5.23,1433,1590,30,2026-08-08
8,nd1f0d4894365,きさまも「ピク民」にしてやろうかぁ～,133,4.43,302,435,30,2026-08-08
9,n90e431e5bab9,プライバシーポリシー（個人作成・板橋しおり）,68,2.27,385,453,30,2026-08-08
10,n9280ebb769a9,プライバシーポリシー,65,2.17,439,504,30,2026-08-08
11,n29dd5fb81229,創作大賞感想文：『Misfit Buddy Noir』幕間：機密アーカイブ（第一部あとがきと自身の感想）,55,1.83,250,305,30,2026-08-08
12,n19b96c67d92e,別の方の記事紹介です。（悪質代理店商法について）,32,1.07,155,187,30,2026-08-08
13,n18cacd6f2ee8,『Misfit Buddy Noir - 壁の内外と、その先（ビヨンド）』第10話（第一部 完）,26,0.87,155,181,30,2026-08-08
14,n5208e34006aa,「ピク民」という「繊細な人」への表現手段について、ご意見募集,21,0.7,305,326,30,2026-08-08
15,na660a09d6d95,「動く前に、だいたいの見通しを知っておきたい」精神障害のチェックツール。,20,0.67,229,249,30,2026-08-08
16,n21dcfc9ea254,「サイレントなマイノリティ」１,20,0.67,90,110,30,2026-08-08
17,n2a2d1f8d3319,『Misfit Buddy Noir - 壁の内外と、その先（ビヨンド）』第1話,19,0.63,216,235,30,2026-08-08
18,n86f59f56da4d,「平面のパッチワーク」であれこれ見てみる,19,0.63,275,294,30,2026-08-08
19,n37b9e31f7781,この絵から浮かんだこと,18,0.6,93,111,30,2026-08-08
20,ncb2c624ab344,ミジンウキマイマイ,17,0.57,154,171,30,2026-08-08
21,n4e3ec9859fe5,AI問答：レアアース採掘（初心者）,16,0.53,73,89,30,2026-08-08
22,nb62a724c1790,「英語もプログラム知識もなく」アプリに挑戦する、それが私,16,0.53,366,382,30,2026-08-08
23,n3ac084d215f1,『Misfit Buddy Noir - 壁の内外と、その先（ビヨンド）』第8話,16,0.53,193,209,30,2026-08-08
24,n57a4c0e95e3b,ミジンウキマイマイ　２章,16,0.53,68,84,30,2026-08-08
25,nb50a5f775c8d,『Misfit Buddy Noir - 壁の内外と、その先（ビヨンド）』第9話,15,0.5,144,159,30,2026-08-08
26,n07901b4d4584,ミジンウキマイマイ　5章,15,0.5,56,71,30,2026-08-08
27,na9f082aebe05,免罪貴族(フリーパスマイノリティ)—教会が政府に変わっただけの話,15,0.5,186,201,30,2026-08-08
28,naacf0354da8e,『Misfit Buddy Noir - 壁の内外と、その先（ビヨンド）』第6話,15,0.5,187,202,30,2026-08-08
29,n1603d02039a7,ヒクイドリキック,14,0.47,288,302,30,2026-08-08
30,n029bdd30db16,『Misfit Buddy Noir - 壁の内外と、その先（ビヨンド）』第7話,12,0.4,241,253,30,2026-08-08
31,n07bfa946c8ae,『Misfit Buddy Noir - 壁の内外と、その先（ビヨンド）』第5話,12,0.4,164,176,30,2026-08-08
32,n614c4f81dd22,栃木のハイキック事件に思うこと１,12,0.4,76,88,30,2026-08-08
33,n59fe6510f866,岩屋議員がなぜ当選する？謎のキャラが調査,11,0.37,436,447,30,2026-08-08
34,n7777887c1b89,4ヶ月ぶり2度目のぐええ　,10,0.33,148,158,30,2026-08-08
35,n404e7a37911a,『Misfit Buddy Noir - 壁の内外と、その先（ビヨンド）』第2話,9,0.3,162,171,30,2026-08-08
36,n907110677973,『Misfit Buddy Noir - 壁の内外と、その先（ビヨンド）』第3話,9,0.3,204,213,30,2026-08-08
37,nd829559a04e3,いろんな解像度を落とせない人、ええじゃないか民の私：ええじゃないか、よいではないか、πでいいじゃないか,8,0.27,244,252,30,2026-08-08
38,n06c6b50a0717,『Misfit Buddy Noir - 壁の内外と、その先（ビヨンド）』第4話,8,0.27,185,193,30,2026-08-08
39,n5da5600ebf46,「腕組み会見」その腕の内側、本当に守るべきものは何だったのか,8,0.27,1143,1151,30,2026-08-08
