key,title,期間増加PV,期間増加スキ,稼働日数,推移PV,集計日
ndf7b7e394e8f,真夏の昼のラグジュアリービリーフ,124,34,6,46→23→27→4→18→5→1,2026-08-08
n411fb6693d0f,自己紹介,20,18,6,4→3→3→3→5→1→1,2026-08-08
n90e431e5bab9,プライバシーポリシー（個人作成・板橋しおり）,14,0,5,2→4→1→2→2→3→0,2026-08-08
n9280ebb769a9,プライバシーポリシー,9,0,5,0→2→2→2→1→2→0,2026-08-08
n7685895e8932,昔の思い出「北上」「アントステラ」,46,9,4,2→10→2→21→11→0→0,2026-08-08
nf746f2780e66,あなたの病歴は守られる。「推定された病歴」は、守られない:個人情報保護法を、AIに悪用させてみたら3回間違えた話,24,6,4,5→4→11→0→2→2→0,2026-08-08
nc879131f0310,『Misfit Buddy Noir - 壁の内外と、その先（ビヨンド）』2部・第12話,14,6,4,3→4→0→3→2→2→0,2026-08-08
n86f59f56da4d,「平面のパッチワーク」であれこれ見てみる,11,0,3,0→1→2→0→0→8→0,2026-08-08
n19b96c67d92e,別の方の記事紹介です。（悪質代理店商法について）,7,0,3,1→2→2→2→0→0→0,2026-08-08
n29dd5fb81229,創作大賞感想文：『Misfit Buddy Noir』幕間：機密アーカイブ（第一部あとがきと自身の感想）,7,2,3,2→3→0→1→0→0→1,2026-08-08
nd1f0d4894365,きさまも「ピク民」にしてやろうかぁ～,7,2,3,2→3→1→1→0→0→0,2026-08-08
n33f40ef01465,王の交代：皇室典範改正からみる男系・女系論と他国のトップ交代制度の比較,5,0,3,2→1→1→0→1→0→0,2026-08-08
nb6089069fbec,『Misfit Buddy Noir - 壁の内外と、その先（ビヨンド）』2部・第11話,5,1,3,2→1→0→1→1→0→0,2026-08-08
ncb2c624ab344,ミジンウキマイマイ,3,3,3,0→0→0→1→1→1→0,2026-08-08
